id,name
WCESTUS1,US Commercial Stocks (kb)
WCESTP11,P1 Commercial Stocks (kb)
WCESTP21,P2 Commercial Stocks (kb)
WCESTP31,P3 Commercial Stocks (kb)
WCESTP41,P4 Commercial Stocks (kb)
WCESTP51,P5 Commercial Stocks (kb)
W_EPC0_SAX_YCUOK_MBBL,Cushing Stocks (kb)
crudeStocksP2E,P2E Stocks (kb)
WCSSTUS1,SPR Stocks (kb)
W_EPC0_SKA_NUS_MBBL,Alaska Stocks (kb)
WCRSTUS1,Total Stocks (kb)
WCREXUS2,US Crude Exports (kbd)
WCRRIUS2,US Refinery Runs (kbd)
WCRRIP12,P1 Refinery Runs (kbd)
WCRRIP22,P2 Refinery Runs (kbd)
WCRRIP32,P3 Refinery Runs (kbd)
WCRRIP42,P4 Refinery Runs (kbd)
WCRRIP52,P5 Refinery Runs (kbd)
WCEIMUS2,US Imports (kbd)
WCEIMP12,P1 Imports (kbd)
WCEIMP22,P2 Imports (kbd)
WCEIMP32,P3 Imports (kbd)
WCEIMP42,P4 Imports (kbd)
WCEIMP52,P5 Imports (kbd)
WCRFPUS2,US Production (kbd)
W_EPC0_FPF_R48_MBBLD,L48 Production (kbd)
W_EPC0_FPF_SAK_MBBLD,AK Production (kbd)
crudeOriginalAdjustment,OG Adjustment Factor (kbd)
WPULEUS3,US Refinery Utilization (pct)
W_NA_YUP_R10_PER,P1 Refinery Utilization (pct)
W_NA_YUP_R20_PER,P2 Refinery Utilization (pct)
W_NA_YUP_R30_PER,P3 Refinery Utilization (pct)
W_NA_YUP_R40_PER,P4 Refinery Utilization (pct)
W_NA_YUP_R50_PER,P5 Refinery Utilization (pct)
feedstockRunsUS,US Feedstock Runs (kbd)
feddStockRunsP1,P1 Feedstock Runs (kbd)
feedstockRunsP2,P2 Feedstock Runs (kbd)
feedstockRunsP3,P3 Feedstock Runs (kbd)
feedstockRunsP4,P4 Feedstock Runs (kbd)
feedstockRunsP5,P5 Feedstock Runs (kbd)
WGIRIUS2,US Gross Runs (kbd)
WGIRIP12,P1 Gross Runs (kbd)
WGIRIP22,P2 Gross Runs (kbd)
WGIRIP32,P3 Gross Runs (kbd)
WGIRIP42,P4 Gross Runs (kbd)
WGIRIP52,P5 Gross Runs (kbd)
crudeStocksP9,P9 Stocks (kb)
crudeRunsP9,P9 Crude Runs (kbd)
grossRunsP9,P9 Gross Runs (kbd)
feedstockRunsP9,P9 Feedstock Runs (kbd)
crudeImportsP9,P9 Crude Imports (kbd)
W_EPC0_IM0_NUS-NBR_MBBLD,Brazil Imports (kbd)
W_EPC0_IM0_NUS-NCA_MBBLD,Canada Imports (kbd)
W_EPC0_IM0_NUS-NCO_MBBLD,Colombia Imports (kbd)
W_EPC0_IM0_NUS-NEC_MBBLD,Ecuador Imports (kbd)
W_EPC0_IM0_NUS-NIZ_MBBLD,Iraq Imports (kbd)
W_EPC0_IM0_NUS-NMX_MBBLD,Mexico Imports (kbd)
W_EPC0_IM0_NUS-NNI_MBBLD,Nigeria Imports (kbd)
W_EPC0_IM0_NUS-NRS_MBBLD,Russia Imports (kbd)
W_EPC0_IM0_NUS-NSA_MBBLD,Saudi Arabia Imports (kbd)
WGTSTUS1,USGasoline Stocks (kb)
WGTSTP11,P1 Gasoline Stocks (kb)
WGTSTP21,P2 Gasoline Stocks (kb)
WGTSTP31,P3 Gasoline Stocks (kb)
WGTSTP41,P4 Gasoline Stocks (kb)
WGTSTP51,P5 Gasoline Stocks (kb)
WGTIMUS2,US Gasoline Imports (kbd)
WGTIM_R10-Z00_2,P1 Gasoline Imports (kbd)
WGTIM_R20-Z00_2,P2 Gasoline Imports (kbd)
WGTIM_R30-Z00_2,P3 Gasoline Imports (kbd)
WGTIM_R40-Z00_2,P4 Gasoline Imports (kbd)
WGTIM_R50-Z00_2,P5 Gasoline Imports (kbd)
WGFRPUS2,US Gasoline Production (kbd)
WGFRPP12,P1 Gasoline Production (kbd)
WGFRPP22,P2 Gasoline Production (kbd)
WGFRPP32,P3 Gasoline Production (kbd)
WGFRPP42,P4 Gasoline Production (kbd)
WGFRPP52,P5 Gasoline Production (kbd)
W_EPM0F_EEX_NUS-Z00_MBBLD,US Gasoline Exports (kbd)
WDISTUS1,US Distillate Stocks (kb)
WDISTP11,P1 Distillate Stocks (kb)
WDISTP21,P2 Distillate Stocks (kb)
WDISTP31,P3 Distillate Stocks (kb)
WDISTP41,P4 Distillate Stocks (kb)
WDISTP51,P5 Distillate Stocks (kb)
WDIIMUS2,US Distillate Imports (kbd)
WDIIM_R10-Z00_2,P1 Distillate Imports (kbd)
WDIIM_R20-Z00_2,P2 Distillate Imports (kbd)
WDIIM_R30-Z00_2,P3 Distillate Imports (kbd)
WDIIM_R40-Z00_2,P4 Distillate Imports (kbd)
WDIIM_R50-Z00_2,P5 Distillate Imports (kbd)
WDIRPUS2,US Distillate Production (kbd)
WDIRPP12,P1 Distillate Production (kbd)
WDIRPP22,P2 Distillate Production (kbd)
WDIRPP32,P3 Distillate Production (kbd)
WDIRPP42,P4 Distillate Production (kbd)
WDIRPP52,P5 Distillate Production (kbd)
WDIEXUS2,US Distillate Exports (kbd)
WKJSTUS1,US Jet Stocks (kb)
WKJSTP11,P1 Jet Stocks (kb)
WKJSTP21,P2 Jet Stocks (kb)
WKJSTP31,P3 Jet Stocks (kb)
WKJSTP41,P4 Jet Stocks (kb)
WKJSTP51,P5 Jet Stocks (kb)
WKJIMUS2,US Jet Imports (kbd)
WKJIM_R10-Z00_2,P1 Jet Imports (kbd)
WKJIM_R20-Z00_2,P2 Jet Imports (kbd)
WKJIM_R30-Z00_2,P3 Jet Imports (kbd)
WKJIM_R40-Z00_2,P4 Jet Imports (kbd)
WKJIM_R50-Z00_2,P5 Jet Imports (kbd)
WKJRPUS2,US Jet Production (kbd)
WKJRPP12,P1 JetProduction (kbd)
WKJRPP22,P2 Jet Production (kbd)
WKJRPP32,P3 Jet Production (kbd)
WKJRPP42,P4 Jet Production (kbd)
WKJRPP52,P5 Jet Production (kbd)
WKJEXUS2,US Jet Exports (kbd)
WRESTUS1,US Fuel Oil Stocks (kb)
WRESTP11,P1 Fuel Oil Stocks (kb)
WRESTP21,P2 Fuel Oil Stocks (kb)
WRESTP31,P3 Fuel Oil Stocks (kb)
WRESTP41,P4 Fuel Oil Stocks (kb)
WRESTP51,P5 Fuel Oil Stocks (kb)
WREIMUS2,US Fuel Oil Imports (kbd)
WREIM_R10-Z00_2,P1 Fuel Oil Imports (kbd)
WREIM_R20-Z00_2,P2 Fuel Oil Imports (kbd)
WREIM_R30-Z00_2,P3 Fuel Oil Imports (kbd)
WREIM_R40-Z00_2,P4 Fuel Oil Imports (kbd)
WREIM_R50-Z00_2,P5 Fuel Oil Imports (kbd)
WRERPUS2,US Fuel Oil Production (kbd)
WRERPP12,P1 Fuel Oil Production (kbd)
WRERPP22,P2 Fuel Oil Production (kbd)
WRERPP32,P3 Fuel Oil Production (kbd)
WRERPP42,P4 Fuel Oil Production (kbd)
WRERPP52,P5 Fuel Oil Production (kbd)
WREEXUS2,US Fuel Oil Exports (kbd)
WPRSTUS1,US C3/C3= Stocks (kb)
WPRSTP11,P1 C3/C3= Stocks (kb)
WPRSTP21,P2 C3/C3= Stocks (kb)
WPRSTP31,P3 C3/C3= Stocks (kb)
WPRST_R4N5_1,P4P5 C3/C3= Stocks (kb)
WPRIM_NUS-Z00_2,US C3/C3= Imports (kbd)
WPRIMP12,P1 C3/C3= Imports (kbd)
WPRIMP22,P2 C3/C3= Imports (kbd)
WPRIMP32,P3 C3/C3= Imports (kbd)
W_EPLLPZ_IM0_R45-Z00_MBBLD,P4P5 C3/C3= Imports (kbd)
WPRTP_NUS_2,US C3/C3= Production (kbd)
WPRNPP12,P1 C3/C3= Production (kbd)
WPRNPP22,P2 C3/C3= Production (kbd)
WPRNPP32,P3 C3/C3= Production (kbd)
W_EPLLPZ_YPT_R4N5_MBBLD,P4P5 C3/C3= Production (kbd)
W_EPLLPZ_EEX_NUS-Z00_MBBLD,US C3/C3= Exports (kbd)
WRPUPUS2,Products Supplied (kbd)
WGFUPUS2,Gasoline Supplied (kbd)
WDIUPUS2,Distillate Supplied (kbd)
WKJUPUS2,Jet Supplied (kbd)
WREUPUS2,Fuel Oil Supplied (kbd)
WPRUP_NUS_2, C3/C3= Supplied (kbd)
WWOUP_NUS_2,Other Oils Supplied (kbd)
